Categoría,Marca,Franquicia,MLA,Full Price,Final Price,Markdown %,Cuotas,Talles,URL,Fecha,Nombre Producto
Running,Adidas,ADISTAR,2584173656,$ 229.999,$ 229.999,0.0%,0,1,https://articulo.mercadolibre.com.ar/MLA-2584173656-zapatillas-de-running-adistar-4-jr0286-adidas-_JM?searchVariation=187255333104#polycard_client=search-desktop&searchVariation=187255333104&search_layout=grid&position=14&type=item&tracking_id=f2a3d2b1-643d-4504-95e6-6d3cb27404fc,2026-03-13,Zapatillas De Running Adistar 4 Jr0286 adidas
Running,Adidas,ULTRABOOST,1478321383,$ 299.999,$ 299.999,0.0%,6,7,https://articulo.mercadolibre.com.ar/MLA-1478321383-zapatillas-adidas-running-ultraboost-5-hombre-negro-id8812-_JM?searchVariation=182980461882#polycard_client=search-desktop&searchVariation=182980461882&search_layout=grid&position=1&type=item&tracking_id=af1ed4e7-0ecc-4909-a579-9e327b9c4cb4,2026-03-13,Zapatillas adidas Running Ultraboost 5 Hombre Negro Id8812
Running,Adidas,ULTRABOOST,1476913827,$ 299.999,$ 299.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-1476913827-zapatillas-adidas-running-ultraboost-5-hombre-azul-id8817-_JM?searchVariation=182905839734#polycard_client=search-desktop&searchVariation=182905839734&search_layout=grid&position=2&type=item&tracking_id=af1ed4e7-0ecc-4909-a579-9e327b9c4cb4,2026-03-13,Zapatillas adidas Running Ultraboost 5 Hombre Azul Id8817
Running,Adidas,ULTRABOOST,1469505153,$ 299.999,$ 299.999,0.0%,3,11,https://articulo.mercadolibre.com.ar/MLA-1469505153-zapatillas-adidas-running-ultraboost-5-mujer-blanco-id8848-_JM?searchVariation=186591025755#polycard_client=search-desktop&searchVariation=186591025755&search_layout=grid&position=3&type=item&tracking_id=af1ed4e7-0ecc-4909-a579-9e327b9c4cb4,2026-03-13,Zapatillas adidas Running Ultraboost 5 Mujer Blanco Id8848
Running,Adidas,ULTRABOOST,2584485570,$ 299.999,$ 299.999,0.0%,0,4,https://articulo.mercadolibre.com.ar/MLA-2584485570-zapatillas-ultraboost-5-jq6653-adidas-_JM?searchVariation=187256810692#polycard_client=search-desktop&searchVariation=187256810692&search_layout=grid&position=4&type=item&tracking_id=af1ed4e7-0ecc-4909-a579-9e327b9c4cb4,2026-03-13,Zapatillas Ultraboost 5 Jq6653 adidas
Running,Adidas,ULTRABOOST,2164334808,$ 299.999,$ 299.999,0.0%,3,4,https://articulo.mercadolibre.com.ar/MLA-2164334808-zapatillas-adidas-running-ultraboost-5-mujer-violeta-jq2913-_JM?searchVariation=188871230573#polycard_client=search-desktop&searchVariation=188871230573&search_layout=grid&position=7&type=item&tracking_id=af1ed4e7-0ecc-4909-a579-9e327b9c4cb4,2026-03-13,Zapatillas adidas Running Ultraboost 5 Mujer Violeta Jq2913
Running,Adidas,ULTRABOOST,1587588779,$ 299.999,$ 299.999,0.0%,0,2,https://articulo.mercadolibre.com.ar/MLA-1587588779-zapatillas-ultraboost-5-ki8559-adidas-_JM?searchVariation=193185345831#polycard_client=search-desktop&searchVariation=193185345831&search_layout=grid&position=9&type=item&tracking_id=af1ed4e7-0ecc-4909-a579-9e327b9c4cb4,2026-03-13,Zapatillas Ultraboost 5 Ki8559 adidas
Running,Adidas,ULTRABOOST,1490811403,$ 299.999,$ 299.999,0.0%,3,2,https://articulo.mercadolibre.com.ar/MLA-1490811403-zapatillas-adidas-running-ultraboost-5-mujer-rosa-id8845-_JM?searchVariation=187596415655#polycard_client=search-desktop&searchVariation=187596415655&search_layout=grid&position=11&type=item&tracking_id=af1ed4e7-0ecc-4909-a579-9e327b9c4cb4,2026-03-13,Zapatillas adidas Running Ultraboost 5 Mujer Rosa Id8845
Running,Nike,PEGASUS,1462886225,$ 249.999,$ 149.999,40.0%,3,,https://articulo.mercadolibre.com.ar/MLA-1462886225-zapatillas-para-hombre-nike-pegasus-40-gris-006-_JM?searchVariation=182339995274#polycard_client=search-desktop&searchVariation=182339995274&search_layout=grid&position=1&type=item&tracking_id=8c70c950-2da4-480a-8485-969a767df88e,2026-03-13,Zapatillas Para Hombre Nike Pegasus 40 Gris 006
Running,Nike,PEGASUS,1462859105,$ 249.999,$ 162.499,35.0%,3,4,https://articulo.mercadolibre.com.ar/MLA-1462859105-zapatillas-para-mujer-nike-pegasus-40-verde-_JM?searchVariation=182339365128#polycard_client=search-desktop&searchVariation=182339365128&search_layout=grid&position=2&type=item&tracking_id=8c70c950-2da4-480a-8485-969a767df88e,2026-03-13,Zapatillas Para Mujer Nike Pegasus 40 Verde
Running,Nike,"PEGASUS ""PLUS""",1541670617,$ 349.999,$ 226.064,35.4%,3,4,https://articulo.mercadolibre.com.ar/MLA-1541670617-zapatillas-nike-pegasus-plus-para-mujer-negro-003-_JM?searchVariation=185681960406#polycard_client=search-desktop&searchVariation=185681960406&search_layout=grid&position=7&type=item&tracking_id=40fd4076-8467-4bee-8653-c12e15461b73,2026-03-13,Zapatillas Nike Pegasus Plus Para Mujer Negro 003
Running,Nike,PEGASUS,1552683499,$ 359.999,$ 359.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-1552683499-zapatillas-nike-pegasus-trail-5-gore-tex-sp-para-hombre-marr-_JM?searchVariation=191516116429#polycard_client=search-desktop&searchVariation=191516116429&search_layout=grid&position=9&type=item&tracking_id=8c70c950-2da4-480a-8485-969a767df88e,2026-03-13,Zapatillas Nike Pegasus Trail 5 Gore-tex Sp Para Hombre Marr
Running,Nike,PEGASUS,1462835283,$ 249.999,$ 149.999,40.0%,6,2,https://articulo.mercadolibre.com.ar/MLA-1462835283-zapatillas-para-hombre-nike-pegasus-40-gris-_JM?searchVariation=186198510181#polycard_client=search-desktop&searchVariation=186198510181&search_layout=grid&position=13&type=item&tracking_id=8c70c950-2da4-480a-8485-969a767df88e,2026-03-13,Zapatillas Para Hombre Nike Pegasus 40 Gris
Running,Nike,"PEGASUS ""PLUS""",2402373676,$ 349.999,$ 244.754,30.1%,6,2,https://articulo.mercadolibre.com.ar/MLA-2402373676-zapatillas-nike-pegasus-plus-para-mujer-rojo-600-_JM?searchVariation=191308750121#polycard_client=search-desktop&searchVariation=191308750121&search_layout=grid&position=11&type=item&tracking_id=40fd4076-8467-4bee-8653-c12e15461b73,2026-03-13,Zapatillas Nike Pegasus Plus Para Mujer Rojo 600
Running,Nike,DOWNSHIFTER,1835280696,$ 144.999,$ 144.999,0.0%,3,,https://articulo.mercadolibre.com.ar/MLA-1835280696-zapatillas-para-mujer-nike-downshifter-13-negro-_JM?searchVariation=180963050652#polycard_client=search-desktop&searchVariation=180963050652&search_layout=grid&position=1&type=item&tracking_id=3d525e3d-c75f-4b3a-97c1-b862082c2b15,2026-03-13,Zapatillas Para Mujer Nike Downshifter 13 Negro
